,법정동,인구수,택배함 개수,물류창고 개수,전기차 등록 수,충전기 개수,전기차한대당충전소개수
0,서울특별시 종로구 청운동,2339,0,0,0,0,0.0
1,서울특별시 종로구 신교동,1361,0,0,0,0,0.0
2,서울특별시 종로구 궁정동,192,1,0,55,0,0.0
3,서울특별시 종로구 효자동,572,0,0,0,0,0.0
4,서울특별시 종로구 창성동,414,0,0,0,0,0.0
5,서울특별시 종로구 통의동,318,0,0,0,0,0.0
6,서울특별시 종로구 적선동,33,0,0,0,0,0.0
7,서울특별시 종로구 통인동,756,0,0,0,0,0.0
8,서울특별시 종로구 누상동,3206,0,0,0,0,0.0
9,서울특별시 종로구 누하동,811,0,0,0,0,0.0
10,서울특별시 종로구 옥인동,1880,0,0,0,0,0.0
11,서울특별시 종로구 체부동,715,0,0,0,0,0.0
12,서울특별시 종로구 필운동,994,0,0,0,0,0.0
13,서울특별시 종로구 내자동,89,0,0,0,0,0.0
14,서울특별시 종로구 사직동,3193,0,0,0,4,0.0
15,서울특별시 종로구 도렴동,1,0,0,0,0,0.0
16,서울특별시 종로구 당주동,301,0,0,0,0,0.0
17,서울특별시 종로구 내수동,2655,0,0,146,2,0.0136986301369863
18,서울특별시 종로구 신문로1가,77,0,0,0,0,0.0
19,서울특별시 종로구 신문로2가,728,0,0,0,0,0.0
20,서울특별시 종로구 청진동,77,0,0,0,0,0.0
21,서울특별시 종로구 서린동,2,0,0,0,0,0.0
22,서울특별시 종로구 수송동,246,0,0,0,1,0.0
23,서울특별시 종로구 중학동,4,0,0,0,0,0.0
24,서울특별시 종로구 종로1가,93,0,0,0,0,0.0
25,서울특별시 종로구 공평동,1,0,0,0,0,0.0
26,서울특별시 종로구 관훈동,109,0,0,0,0,0.0
27,서울특별시 종로구 견지동,230,0,0,0,0,0.0
28,서울특별시 종로구 와룡동,106,0,0,132,0,0.0
29,서울특별시 종로구 권농동,139,0,0,0,0,0.0
30,서울특별시 종로구 운니동,166,0,0,0,0,0.0
31,서울특별시 종로구 익선동,1024,0,0,0,0,0.0
32,서울특별시 종로구 경운동,250,0,0,0,0,0.0
33,서울특별시 종로구 관철동,236,0,0,0,3,0.0
34,서울특별시 종로구 인사동,89,0,0,0,0,0.0
35,서울특별시 종로구 낙원동,852,0,0,0,0,0.0
36,서울특별시 종로구 종로2가,78,0,0,0,0,0.0
37,서울특별시 종로구 팔판동,279,0,0,0,0,0.0
38,서울특별시 종로구 삼청동,1289,0,0,9,0,0.0
39,서울특별시 종로구 안국동,250,0,0,0,0,0.0
40,서울특별시 종로구 소격동,128,0,0,0,2,0.0
41,서울특별시 종로구 화동,232,0,0,0,0,0.0
42,서울특별시 종로구 사간동,123,0,0,0,0,0.0
43,서울특별시 종로구 가회동,1045,0,0,0,0,0.0
44,서울특별시 종로구 재동,87,0,0,0,0,0.0
45,서울특별시 종로구 계동,1051,0,0,23,0,0.0
46,서울특별시 종로구 원서동,1756,0,0,0,0,0.0
47,서울특별시 종로구 묘동,38,0,0,0,0,0.0
48,서울특별시 종로구 봉익동,60,0,0,0,0,0.0
49,서울특별시 종로구 돈의동,783,0,0,0,0,0.0
50,서울특별시 종로구 장사동,64,0,0,0,0,0.0
51,서울특별시 종로구 관수동,392,0,0,0,0,0.0
52,서울특별시 종로구 종로3가,128,0,0,0,2,0.0
53,서울특별시 종로구 인의동,1045,0,0,0,0,0.0
54,서울특별시 종로구 예지동,40,0,0,0,0,0.0
55,서울특별시 종로구 원남동,487,0,0,0,0,0.0
56,서울특별시 종로구 연지동,874,0,0,0,0,0.0
57,서울특별시 종로구 종로4가,23,0,0,0,0,0.0
58,서울특별시 종로구 효제동,848,0,0,9,0,0.0
59,서울특별시 종로구 종로5가,228,0,0,0,0,0.0
60,서울특별시 종로구 종로6가,488,0,0,0,0,0.0
61,서울특별시 종로구 이화동,1720,0,0,25,0,0.0
62,서울특별시 종로구 연건동,1649,0,0,0,6,0.0
63,서울특별시 종로구 충신동,2981,0,0,0,0,0.0
64,서울특별시 종로구 동숭동,3677,0,0,0,0,0.0
65,서울특별시 종로구 혜화동,3159,1,0,28,3,0.10714285714285714
66,서울특별시 종로구 명륜1가,4282,0,0,0,0,0.0
67,서울특별시 종로구 명륜2가,3047,0,0,0,0,0.0
68,서울특별시 종로구 명륜4가,843,0,0,0,0,0.0
69,서울특별시 종로구 명륜3가,4741,0,0,0,0,0.0
70,서울특별시 종로구 창신동,18679,1,0,21,7,0.3333333333333333
71,서울특별시 종로구 숭인동,15578,2,0,21,1,0.047619047619047616
72,서울특별시 종로구 교남동,593,0,0,0,0,0.0
73,서울특별시 종로구 평동,1569,0,0,0,0,0.0
74,서울특별시 종로구 송월동,921,0,0,0,0,0.0
75,서울특별시 종로구 홍파동,1580,0,0,0,0,0.0
76,서울특별시 종로구 교북동,890,0,0,0,0,0.0
77,서울특별시 종로구 행촌동,4211,0,0,41,0,0.0
78,서울특별시 종로구 구기동,5754,0,0,0,1,0.0
79,서울특별시 종로구 평창동,11766,0,0,90,0,0.0
80,서울특별시 종로구 부암동,4088,0,0,32,0,0.0
81,서울특별시 종로구 홍지동,1586,0,0,0,0,0.0
82,서울특별시 종로구 신영동,3494,0,0,0,0,0.0
83,서울특별시 종로구 무악동,8008,0,0,22,6,0.2727272727272727
84,서울특별시 중구 무교동,10,0,0,0,0,0.0
85,서울특별시 중구 다동,67,0,0,0,3,0.0
86,서울특별시 중구 태평로1가,5,0,0,0,2,0.0
87,서울특별시 중구 을지로1가,1,0,0,0,0,0.0
88,서울특별시 중구 을지로2가,57,0,0,0,0,0.0
89,서울특별시 중구 삼각동,4,0,0,0,0,0.0
90,서울특별시 중구 장교동,2,0,0,0,0,0.0
91,서울특별시 중구 수표동,8,0,0,0,0,0.0
92,서울특별시 중구 소공동,1,0,0,305,0,0.0
93,서울특별시 중구 남창동,422,0,0,0,0,0.0
94,서울특별시 중구 북창동,160,0,0,0,0,0.0
95,서울특별시 중구 태평로2가,46,0,0,0,7,0.0
96,서울특별시 중구 남대문로2가,1,0,0,0,0,0.0
97,서울특별시 중구 남대문로3가,10,0,0,0,0,0.0
98,서울특별시 중구 남대문로4가,4,0,0,0,0,0.0
99,서울특별시 중구 남대문로5가,713,0,0,102,0,0.0
100,서울특별시 중구 봉래동1가,36,0,0,0,0,0.0
101,서울특별시 중구 회현동1가,3295,0,0,0,1,0.0
102,서울특별시 중구 회현동2가,865,0,0,0,3,0.0
103,서울특별시 중구 회현동3가,36,0,0,0,0,0.0
104,서울특별시 중구 충무로1가,14,0,0,0,0,0.0
105,서울특별시 중구 충무로2가,260,0,0,0,0,0.0
106,서울특별시 중구 명동1가,11,0,0,0,3,0.0
107,서울특별시 중구 명동2가,526,0,0,0,0,0.0
108,서울특별시 중구 남산동1가,144,0,0,0,0,0.0
109,서울특별시 중구 남산동2가,532,1,0,0,3,0.0
110,서울특별시 중구 남산동3가,50,0,0,220,0,0.0
111,서울특별시 중구 저동1가,11,0,0,0,0,0.0
112,서울특별시 중구 충무로4가,1569,0,0,0,2,0.0
113,서울특별시 중구 충무로5가,626,0,0,0,0,0.0
114,서울특별시 중구 인현동2가,866,0,0,0,0,0.0
115,서울특별시 중구 예관동,22,0,0,0,0,0.0
116,서울특별시 중구 묵정동,916,0,0,0,2,0.0
117,서울특별시 중구 필동1가,114,0,0,0,0,0.0
118,서울특별시 중구 필동2가,845,0,0,0,0,0.0
119,서울특별시 중구 필동3가,938,0,0,0,0,0.0
120,서울특별시 중구 남학동,46,0,0,0,0,0.0
121,서울특별시 중구 주자동,21,0,0,0,0,0.0
122,서울특별시 중구 예장동,770,0,0,31,0,0.0
123,서울특별시 중구 장충동1가,1660,0,0,0,0,0.0
124,서울특별시 중구 장충동2가,2941,2,0,25,3,0.12
125,서울특별시 중구 광희동1가,294,0,0,0,0,0.0
126,서울특별시 중구 광희동2가,852,0,0,0,0,0.0
127,서울특별시 중구 쌍림동,600,0,0,0,0,0.0
128,서울특별시 중구 을지로6가,163,0,0,49,0,0.0
129,서울특별시 중구 을지로7가,58,0,0,0,2,0.0
130,서울특별시 중구 을지로4가,161,0,0,10,0,0.0
131,서울특별시 중구 을지로5가,392,0,0,0,0,0.0
132,서울특별시 중구 주교동,256,0,0,0,0,0.0
133,서울특별시 중구 방산동,35,0,0,0,0,0.0
134,서울특별시 중구 오장동,724,0,0,0,0,0.0
135,서울특별시 중구 을지로3가,239,0,0,0,0,0.0
136,서울특별시 중구 입정동,665,0,0,0,0,0.0
137,서울특별시 중구 산림동,141,0,0,0,0,0.0
138,서울특별시 중구 충무로3가,254,0,0,0,0,0.0
139,서울특별시 중구 초동,82,0,0,0,0,0.0
140,서울특별시 중구 인현동1가,77,0,0,0,0,0.0
141,서울특별시 중구 저동2가,259,0,0,0,0,0.0
142,서울특별시 중구 신당동,68056,4,0,179,10,0.055865921787709494
143,서울특별시 중구 흥인동,2303,0,0,0,0,0.0
144,서울특별시 중구 무학동,235,0,0,0,0,0.0
145,서울특별시 중구 황학동,12818,0,0,35,4,0.11428571428571428
146,서울특별시 중구 서소문동,23,0,0,0,0,0.0
147,서울특별시 중구 정동,535,0,0,0,0,0.0
148,서울특별시 중구 순화동,1235,0,0,0,2,0.0
149,서울특별시 중구 의주로1가,208,0,0,0,0,0.0
150,서울특별시 중구 중림동,6074,0,0,0,0,0.0
151,서울특별시 중구 의주로2가,8,0,0,0,0,0.0
152,서울특별시 중구 만리동1가,1316,0,0,47,2,0.0425531914893617
153,서울특별시 중구 만리동2가,4562,0,0,0,0,0.0
154,서울특별시 용산구 후암동,16201,0,0,41,0,0.0
155,서울특별시 용산구 용산동2가,9008,1,0,16,10,0.625
156,서울특별시 용산구 용산동4가,2,0,0,0,0,0.0
157,서울특별시 용산구 갈월동,2822,0,0,0,0,0.0
158,서울특별시 용산구 남영동,580,1,0,19,0,0.0
159,서울특별시 용산구 동자동,3621,0,0,0,0,0.0
160,서울특별시 용산구 서계동,4899,0,0,0,0,0.0
161,서울특별시 용산구 청파동1가,7273,1,0,29,0,0.0
162,서울특별시 용산구 청파동2가,3286,0,0,0,0,0.0
163,서울특별시 용산구 청파동3가,3597,0,0,0,0,0.0
164,서울특별시 용산구 원효로1가,6927,0,0,0,4,0.0
165,서울특별시 용산구 원효로2가,1706,0,0,0,0,0.0
166,서울특별시 용산구 신창동,2308,1,0,86,0,0.0
167,서울특별시 용산구 산천동,4980,0,0,48,0,0.0
168,서울특별시 용산구 청암동,667,0,0,0,3,0.0
169,서울특별시 용산구 원효로3가,2095,0,0,0,0,0.0
170,서울특별시 용산구 원효로4가,3655,0,0,0,0,0.0
171,서울특별시 용산구 효창동,10754,2,0,21,0,0.0
172,서울특별시 용산구 도원동,5302,0,0,0,0,0.0
173,서울특별시 용산구 용문동,6181,0,0,25,0,0.0
174,서울특별시 용산구 문배동,5812,0,0,0,8,0.0
175,서울특별시 용산구 신계동,2723,0,0,0,0,0.0
176,서울특별시 용산구 한강로1가,3210,0,0,0,6,0.0
177,서울특별시 용산구 한강로2가,7288,0,0,146,0,0.0
178,서울특별시 용산구 용산동3가,270,0,0,0,0,0.0
179,서울특별시 용산구 용산동5가,2370,0,0,0,4,0.0
180,서울특별시 용산구 한강로3가,8011,0,0,0,2,0.0
181,서울특별시 용산구 이촌동,32942,0,1,130,13,0.1
182,서울특별시 용산구 이태원동,14796,1,0,83,0,0.0
183,서울특별시 용산구 한남동,19207,1,0,130,2,0.015384615384615385
184,서울특별시 용산구 동빙고동,6138,0,0,0,0,0.0
185,서울특별시 용산구 서빙고동,5570,0,1,40,0,0.0
186,서울특별시 용산구 주성동,828,0,0,0,0,0.0
187,서울특별시 용산구 보광동,12582,1,0,16,0,0.0
188,서울특별시 성동구 상왕십리동,3632,0,0,0,7,0.0
189,서울특별시 성동구 하왕십리동,30359,1,0,104,7,0.0673076923076923
190,서울특별시 성동구 홍익동,3942,0,0,0,0,0.0
191,서울특별시 성동구 도선동,4703,0,0,0,0,0.0
192,서울특별시 성동구 마장동,21971,0,0,150,8,0.05333333333333334
193,서울특별시 성동구 사근동,6791,1,0,27,2,0.07407407407407407
194,서울특별시 성동구 행당동,41999,2,0,125,7,0.056
195,서울특별시 성동구 응봉동,14951,0,0,23,0,0.0
196,서울특별시 성동구 금호동1가,14989,0,0,40,4,0.1
197,서울특별시 성동구 금호동2가,9810,1,0,50,3,0.06
198,서울특별시 성동구 금호동3가,12298,0,0,0,0,0.0
199,서울특별시 성동구 금호동4가,14244,0,0,49,2,0.04081632653061224
200,서울특별시 성동구 옥수동,25503,0,0,109,0,0.0
201,서울특별시 성동구 성수동1가,27759,2,1,610,15,0.02459016393442623
202,서울특별시 성동구 성수동2가,25213,2,6,186,9,0.04838709677419355
203,서울특별시 성동구 송정동,10073,0,0,20,0,0.0
204,서울특별시 성동구 용답동,11743,1,0,63,2,0.031746031746031744
205,서울특별시 광진구 중곡동,80046,4,0,133,0,0.0
206,서울특별시 광진구 능동,11163,0,0,22,0,0.0
207,서울특별시 광진구 구의동,77349,3,0,152,14,0.09210526315789473
208,서울특별시 광진구 광장동,34062,0,0,71,5,0.07042253521126761
209,서울특별시 광진구 자양동,91273,5,0,252,3,0.011904761904761904
210,서울특별시 광진구 화양동,23379,1,0,28,0,0.0
211,서울특별시 광진구 군자동,19286,1,0,36,0,0.0
212,서울특별시 동대문구 신설동,3711,0,0,0,0,0.0
213,서울특별시 동대문구 용두동,31682,1,0,92,0,0.0
214,서울특별시 동대문구 제기동,24104,1,0,38,0,0.0
215,서울특별시 동대문구 전농동,46855,1,0,108,10,0.09259259259259259
216,서울특별시 동대문구 답십리동,55766,2,0,158,6,0.0379746835443038
217,서울특별시 동대문구 장안동,70342,2,0,171,3,0.017543859649122806
218,서울특별시 동대문구 청량리동,18739,1,0,34,0,0.0
219,서울특별시 동대문구 회기동,10496,1,0,10,2,0.2
220,서울특별시 동대문구 휘경동,38456,1,0,72,11,0.1527777777777778
221,서울특별시 동대문구 이문동,37541,2,0,51,3,0.058823529411764705
222,서울특별시 중랑구 면목동,135903,3,0,262,8,0.030534351145038167
223,서울특별시 중랑구 상봉동,43594,2,0,100,8,0.08
224,서울특별시 중랑구 중화동,43352,1,0,81,9,0.1111111111111111
225,서울특별시 중랑구 묵동,52337,0,0,94,7,0.07446808510638298
226,서울특별시 중랑구 망우동,51458,0,0,187,5,0.026737967914438502
227,서울특별시 중랑구 신내동,58223,0,0,205,6,0.02926829268292683
228,서울특별시 성북구 성북동,10323,0,0,53,0,0.0
229,서울특별시 성북구 성북동1가,1859,0,0,0,0,0.0
230,서울특별시 성북구 돈암동,38464,1,0,93,10,0.10752688172043011
231,서울특별시 성북구 동소문동1가,947,0,0,0,0,0.0
232,서울특별시 성북구 동소문동2가,519,0,0,0,0,0.0
233,서울특별시 성북구 동소문동3가,145,0,0,0,0,0.0
234,서울특별시 성북구 동소문동4가,3027,0,0,0,0,0.0
235,서울특별시 성북구 동소문동5가,1158,0,0,0,0,0.0
236,서울특별시 성북구 동소문동6가,1809,0,0,0,0,0.0
237,서울특별시 성북구 동소문동7가,2333,0,0,0,1,0.0
238,서울특별시 성북구 삼선동1가,4268,0,0,0,0,0.0
239,서울특별시 성북구 삼선동2가,5670,0,0,0,7,0.0
240,서울특별시 성북구 삼선동3가,3812,0,0,71,3,0.04225352112676056
241,서울특별시 성북구 삼선동4가,3144,0,0,0,0,0.0
242,서울특별시 성북구 삼선동5가,3773,0,0,0,0,0.0
243,서울특별시 성북구 동선동1가,1173,0,0,16,0,0.0
244,서울특별시 성북구 동선동2가,2177,0,0,0,0,0.0
245,서울특별시 성북구 동선동3가,2879,0,0,0,0,0.0
246,서울특별시 성북구 동선동4가,2114,0,0,0,0,0.0
247,서울특별시 성북구 동선동5가,2031,0,0,0,0,0.0
248,서울특별시 성북구 안암동1가,3933,0,0,0,0,0.0
249,서울특별시 성북구 안암동2가,2373,0,0,0,0,0.0
